timestamp,admissions,discharges,emergency_cases,icu_occupied,ward_occupied,emergency_occupied,pediatric_occupied,outbreak_signal,total_occupied
2025-01-01 00:00:00,4,0,4,0.0,0.0,3.0,1.0,0.0,4.0
2025-01-01 01:00:00,3,0,3,0.0,3.0,3.0,1.0,0.0,7.0
2025-01-01 02:00:00,5,0,5,0.0,5.0,5.0,2.0,0.1152722062939291,12.0
2025-01-01 03:00:00,3,0,3,0.0,5.0,8.0,2.0,0.0,15.0
2025-01-01 04:00:00,2,0,2,0.0,6.0,9.0,2.0,0.0,17.0
2025-01-01 05:00:00,4,0,4,0.0,9.0,9.0,3.0,0.05763610314696455,21.0
2025-01-01 06:00:00,6,0,6,0.0,13.0,10.0,4.0,0.24701187062984803,27.0
2025-01-01 07:00:00,5,0,5,0.0,16.0,12.0,4.0,0.1152722062939291,32.0
2025-01-01 08:00:00,7,0,7,0.0,19.0,16.0,4.0,0.30739255011714434,39.0
2025-01-01 09:00:00,8,0,8,1.0,23.0,18.0,5.0,0.380398280769966,47.0
2025-01-01 10:00:00,7,0,7,1.0,28.0,20.0,5.0,0.2410237040691245,54.0
2025-01-01 11:00:00,8,0,8,1.0,32.0,24.0,5.0,0.3266045844994658,62.0
2025-01-01 12:00:00,6,0,6,1.0,37.0,25.0,5.0,0.088670927918407,68.0
2025-01-01 13:00:00,6,2,6,1.0,40.0,25.0,6.0,0.08233729020994937,72.0
2025-01-01 14:00:00,11,1,11,1.0,44.0,31.0,6.0,0.6147851002342886,82.0
2025-01-01 15:00:00,6,2,6,1.0,46.0,33.0,6.0,0.03602256446685285,86.0
2025-01-01 16:00:00,5,1,5,1.0,48.0,34.0,7.0,0.0,90.0
2025-01-01 17:00:00,9,1,9,2.0,53.0,36.0,7.0,0.3650286532641088,98.0
2025-01-01 18:00:00,10,1,10,3.0,57.0,38.0,9.0,0.45502186694972013,107.0
2025-01-01 19:00:00,6,3,6,3.0,60.0,37.0,10.0,0.0,110.0
2025-01-01 20:00:00,6,2,6,4.0,62.0,35.0,13.0,0.0,114.0
2025-01-01 21:00:00,6,2,6,4.0,66.0,35.0,13.0,0.0,118.0
2025-01-01 22:00:00,3,2,3,4.0,67.0,35.0,13.0,0.0,119.0
2025-01-01 23:00:00,6,5,6,5.0,67.0,34.0,14.0,0.009272769364266034,120.0
2025-01-02 00:00:00,1,3,1,5.0,67.0,32.0,14.0,0.0,118.0
2025-01-02 01:00:00,2,2,2,5.0,67.0,32.0,14.0,0.0,118.0
2025-01-02 02:00:00,3,4,3,5.0,68.0,30.0,14.0,0.0,117.0
2025-01-02 03:00:00,4,7,4,6.0,69.0,25.0,14.0,0.0,114.0
2025-01-02 04:00:00,4,2,4,6.0,70.0,26.0,14.0,0.0,116.0
2025-01-02 05:00:00,3,0,3,6.0,71.0,28.0,14.0,0.0,119.0
2025-01-02 06:00:00,5,1,5,7.0,75.0,27.0,14.0,0.0,123.0
